MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
1	rn:R00124	reversible	(2.7.4.6)			[00230]
1	rn:R00127	reversible	(2.7.4.3)			[00230]
1	rn:R00130		(2.7.1.24)			[00770]
1	rn:R00137	reversible	(2.7.7.1)			[00760]
1	rn:R00137	reversible	(2.7.7.18)			[00760]
1	rn:R00149		(6.3.4.16)			[00220, 00250, 00910]
1	rn:R00155		(3.6.1.5)			[00240]
1	rn:R00155		(3.6.1.6)			[00240]
1	rn:R00156	reversible	(2.7.4.6)			[00240]
1	rn:R00158	reversible	(2.7.4.14)			[00240]
1	rn:R00158	reversible	(2.7.4.22)			[00240]
1	rn:R00159		(3.6.1.5)			[00240]
1	rn:R00177		(2.5.1.6)			[00270]
1	rn:R00178		(4.1.1.50)			[00270, 00330]
1	rn:R00181		(3.5.4.6)			[00230]
1	rn:R00183		(3.1.3.5)			[00230]
1	rn:R00185	reversible	(2.7.1.20)			[00230]
1	rn:R00185	reversible	(2.7.1.74)			[00230]
1	rn:R00190	reversible	(2.4.2.7)			[00230]
1	rn:R00191		(3.1.4.17)			[00230]
1	rn:R00191		(3.1.4.53)			[00230]
1	rn:R00192		(3.3.1.1)			[00270]
1	rn:R00200		(2.7.1.40)			[00010, 00230, 00620]
1	rn:R00200|R02320		(-.-.-.-)			[00010, 00230, 00620]
1	rn:R00214	reversible	(1.1.1.38)			[00620, 00710]
1	rn:R00216	reversible	(1.1.1.40)			[00620, 00710]
1	rn:R00220		(4.3.1.17)			[00260]
1	rn:R00220		(4.3.1.19)			[00260]
1	rn:R00227		(3.1.2.1)			[00620]
1	rn:R00233		(4.1.1.9)			[00410, 00640]
1	rn:R00235		(6.2.1.1)			[00010, 00630, 00680, 00720]
1	rn:R00236	reversible	(6.2.1.1)			[00620]
1	rn:R00238	reversible	(2.3.1.9)			[00071, 00072, 00280, 00310, 00362, 00380, 00620, 00630, 00640, 00650, 00720, 00900]
1	rn:R00239		(2.7.2.11)			[00330, 00332]
1	rn:R00243	reversible	(1.4.1.2)			[00220, 00250, 00430, 00471, 00910]
1	rn:R00243|R00248	reversible	(-.-.-.-)			[00220, 00250, 00430, 00471, 00910]
1	rn:R00243|R00248	reversible	(1.4.1.3)			[00220, 00250, 00430, 00471, 00910]
1	rn:R00245	reversible	(1.2.1.88)			[00330]
1	rn:R00251		(3.5.2.9)			[00480]
1	rn:R00253		(6.3.1.2)			[00220, 00250, 00630, 00910]
1	rn:R00256		(3.5.1.2)			[00220, 00250, 00471]
1	rn:R00256		(3.5.1.38)			[00220, 00250, 00471]
1	rn:R00258		(2.6.1.2)			[00220, 00250, 00710]
1	rn:R00261		(4.1.1.15)			[00250, 00650]
1	rn:R00267		(1.1.1.42)			[00480, 00720]
1	rn:R00268	reversible	(1.1.1.42)			[00020]
1	rn:R00274		(1.11.1.9)			[00480]
